hazard,Aspect,HumanImpactIndexMean,LandCover,NDMI,NDVI,Precipitation,Slope,SoilMoist,TempMax,TempMin,WaterDeficit,WindSpeed,idx
1,202.40933,58.05,17,-0.053899985,0.31427827,10.5,15.359689,111.25,229,163,779.25,500,0
1,230.81831,113.05,17,0.018984776,0.45875758,9,10.789302,78.5,257,191.5,882,471.5,1
1,225.00072,92.1,17,9.85E-04,0.44444075,9,15.208715,78.5,257,191.5,882,471.5,2
1,247.60796,85.1,17,0.020417279,0.46922994,9,14.303635,78.5,257,191.5,882,471.5,3
1,303.67877,632.75,2,0.1006114,0.5160601,183.5,0.10453447,1175,307,216,0,110,0
1,266.6362,528.5,2,0.24797188,0.6251839,186.6666667,0.49395883,1576,316,227.5,0,109.5,1
1,285.24612,105.85,2,0.23796527,0.63233376,169,0.33065584,1476,309.5,219.5,0,108,2
1,314.9933,617.5,8,0.2413346,0.6302612,200.8,0.04099449,856,306,218,0,105,3
1,164.04846,710.05,8,0.20317073,0.57806104,185,0.42202002,1121,306,216,0,109,4
1,124.549484,594.3,17,-0.13202657,0.18828975,12,0.0511077,2,174.5,60,1006,651.5833333,0
1,339.2033,297.1,17,-0.08884755,0.26416203,12.5,1.4258955,2,175,62,1019.5,700.5,1
1,34.416058,321.25,17,-0.07779289,0.25982153,12.5,0.5972588,2,175,62,1019.5,700.5,2
1,96.26847,143.3,17,-0.04708505,0.29369783,12.5,2.1226513,2,173,60.5,1001,691.9375,3
1,124.549484,483.45,17,-0.13949254,0.20395648,12,0.10221532,2,174,60,1003.5,662.625,4
1,205.17545,229.05,2,0.373411,0.68644434,164.8,1.2488275,421,204,109.5,0,228,0
1,223.74556,273.5,9,0.35140413,0.65732354,143.5833333,1.7246804,431,203,113,0,246,1
1,110.04693,362.35,2,0.16200432,0.5839311,164.75,1.9439856,417,201,107.5,0,240,2
1,228.0634,311.7,2,0.28234518,0.64228934,164.8,1.5175728,421,204,109.5,0,228,3
1,303.93665,360.2,2,0.24686691,0.608241,146,0.51915723,455,199,109,0,270,4
1,129.11475,183.85,9,0.15513454,0.58863,122.4,0.5512947,390,208,115,0.00877193,230,0
1,325.78116,218.2,2,0.19219922,0.58266306,135,2.696987,474,191.5,102,0,270,1
1,97.41217,197.45,9,0.1449198,0.58260477,121.4,2.0212083,412,211,117,0,232,2
1,79.923256,256.35,9,0.17416923,0.60178787,119.6666667,7.0867844,380,213.5,121,0,224,3
1,347.16522,239.25,9,0.19698161,0.5982569,134.25,1.3374642,376,199,107,0,240.5,4
1,205.84087,30.95,2,0.38028243,0.69934446,187.5,0.80505335,2408,314,210,0.019230769,101.5,0
1,40.857445,46.25,2,0.30352747,0.67193115,203.5,0.26824877,2451,313,210,0,101.5,1
1,198.58984,13.85,2,0.39597738,0.71270204,199,0.09173867,2426,313,209,0,101.5,2
1,221.56267,297.8,2,0.1973818,0.58741564,192.75,1.2781038,2414,314,210,0,102,3
1,45.256027,15.35,2,0.3963093,0.69668406,201.5,0.16469592,2432,313,210,0,100.5,4
1,233.082,485.15,17,0.14323604,0.53367496,14.6,5.8662596,203.8,305,187,775,220,0
1,153.42166,1529.95,9,0.2823286,0.35983765,21,0.06481789,1960,301.5,211,288.5,152,1
1,274.25266,850.5,10,0.039258074,0.4361042,11.70833333,6.615062,172.6666667,304,178,869,230,2
1,122.262245,1494.85,9,0.11887695,0.49628198,14.75,0.6515497,544,293,199,452.5,210,3
1,286.11374,949.85,9,0.10719938,0.5422401,71,6.4473248,980.6666667,264,136,219,232.5,4
1,161.5589,304.6,2,0.32997832,0.69170886,157.75,0.7332322,4364.5,315,229,0,153.5,0
1,2.863174,181.5,2,0.27031595,0.6687652,158.6,0.5803865,4522,317,232,0,156,1
1,326.30252,529.7,2,0.369188,0.641363,177.75,0.62705076,4175,318,236,0,149,2
1,122.60993,410.45,2,0.26045787,0.645424,156.75,0.8604494,4382.5,315,229,0.03125,153.5,3
1,286.25482,252.2,2,0.27874124,0.65723294,157.75,0.7247973,4364.5,315,229,0,153.5,4
1,271.268,406.45,8,0.23509555,0.6475887,62.5,1.309538,2886.5,327,221.5,317,116,0
1,189.49532,535.35,9,0.1992537,0.5225962,67.5,2.6429284,4544.25,319,210,289.5,141,1
1,26.623629,510,9,0.084529884,0.50448203,67.5,0.06484355,4432,333,232,268.5,120,2
1,260.56622,228.7,8,0.18978325,0.57575375,70,0.17683163,5919,333,228,292.6666667,119,3
1,333.38956,668.9,9,0.19971058,0.51023823,97.16666667,0.12967199,3898.5,324,223.5,99,140,4
1,180,168.8,9,0.26873645,0.59746784,83.5,0.057968166,149.6666667,308,188.5,412,279,0
1,10.501735,188.7,8,0.2203688,0.61332643,77.75,0.17686662,159.5,289,162,406.3333333,290,1
1,47.64933,348.55,9,0.12218911,0.53517365,81.75,0.043024395,156,305.5,183.5,484,290,2
1,301.1038,1005.5,9,0.21001728,0.6034846,90.66666667,0.112213,144.2222222,292,176,317,298.5,3
1,200.30533,130.75,9,0.18340169,0.56660295,86,0.09271374,139.5,292.5,169.5,400.75,298,4
1,67.11545,578.3,8,0.31921113,0.64356154,65.875,4.5370107,138.3333333,307,215,621,308.3333333,0
1,198.12215,353.65,8,0.411991,0.7176622,70.41666667,2.5600321,178.6666667,304,217,581,364.5,1
1,37.345196,1507.45,8,0.3668596,0.61296505,52.33333333,0.14583246,140.5,316.5,240.5,902.5,390,2
1,182.53563,960.1,8,0.27592203,0.6124349,72.66666667,0.6672573,144,313,223,623.5,340.2,3
1,90,1086.1,8,0.34504855,0.6026573,70.8,0.08846696,147.6666667,317,240,657.8333333,380.2,4
1,92.50447,880.85,9,0.1888819,0.59529334,29.25,0.66326207,116.25,262,158,633.6666667,178.5,0
1,228.76031,391.6,9,0.15296316,0.56346065,31.375,4.6940336,161,282,159.5,613.3333333,140,1
1,203.22421,429.65,10,0.08319223,0.5129086,23.5,1.0722281,871,281,158,504.25,144.2,2
1,153.34639,117,9,-0.029066546,0.40737283,31.5,2.366066,1193,272.5,156,379.6666667,130,3
1,278.74884,1283.6,9,-0.027537666,0.35394064,20.5,0.76217586,413,301,181.5,655,140,4
1,90,318.5,9,0.058794815,0.4486587,42.5,0.0313325,28.57142857,326,196.5,1010.666667,289.5,0
1,144.35631,230.25,9,-0.005029408,0.35631433,31.5,0.10699743,7,321.5,195,1016.2,277.25,1
1,133.06317,94.95,9,0.10105381,0.49868947,33.5,0.08489716,9,323,195,998.5,287.25,2
1,160.30402,785,9,0.046424303,0.42561197,39.5,0.092355534,20,328,199,984.75,290,3
1,64.944756,326.3,9,0.05940835,0.44814754,39.5,0.06844068,7,331,201.5,1000.125,290,4
1,132.0399,121,9,0.06379473,0.46565628,36,0.04328257,16,305,164,883,253,0
1,29.351992,755.15,12,-0.026499566,0.38366997,48.5,0.26602164,22.4,293,150.5,648.6666667,280,1
1,90,53.9,9,0.19241513,0.5599534,45,0.032229446,40.5,300,160.5,752.25,262,2
1,143.40843,1041.9,8,-0.012145118,0.43878454,64,0.10829694,123,289.5,157.5,476.5,285,3
1,70.2637,78.9,9,0.07123399,0.45876467,37,0.17165962,10,304.5,162.5,871.75,250.5,4
1,244.03508,99.9,2,0.19619933,0.6149852,127,0.06620077,1796.5,317,219,0.082352941,201,0
1,64.00134,93.3,2,0.05127561,0.4732502,124,0.066120856,1925.5,318,220,0,200,1
1,57.703712,13.6,2,0.24555123,0.6214396,130.5,0.5966965,3111,311,216,0,166.5,2
1,45.725372,48.45,2,0.28661776,0.6477229,125.5,0.041518632,2307.5,315,218,0,192.5,3
1,118.88899,250.75,2,0.32180032,0.7006292,116.5,0.5399326,3245,313,218,0.024096386,150,4
1,270,1930.85,2,0.2770323,0.5679993,110,0.20323442,1077.666667,290,191,0.011904762,114,0
1,293.15445,2054.4,2,0.32024544,0.61580414,105.8333333,0.22113279,937,290,191,0,117,1
1,8.141573,2175.55,2,0.2127896,0.56598955,152.25,0.4099017,1056,290,191,0.028037383,119,2
1,165.33752,2511.1,2,0.1777991,0.47916228,154.5,9.993842,1237,261,162,0,130,3
1,270,1860.95,2,0.2868738,0.5806276,114.3333333,0.14527327,799.5,294,192,0.033333333,110,4
1,0,107.9,10,0.09554779,0.41872466,48,0,42.33333333,267,130,605.25,346,0
1,90,191.65,10,0.015331922,0.38243526,49,0.033347584,41.625,268.5,131,601.25,340.2222222,1
1,0,212.9,10,0.078388214,0.42346233,47,0,37,271.5,132.5,639.75,340,2
1,0,472.2,10,-0.08876444,0.14732784,56,0,47.08333333,263,129,547.5,350,3
1,0,512,10,0.1330055,0.15008529,52,0,26.5,258.5,126,554,350,4
1,254.6401,1251.05,9,0.27039203,0.624131,219,1.0940967,2669,332,234,0.032608696,185.5,0
1,283.979,401.2,2,0.33750385,0.65897006,258.5,8.574261,1273,303,214,0,130,1
1,298.9243,286.45,2,0.39704153,0.6665544,271.1666667,9.150228,2424,315,224,0,160,2
1,45.25545,459.35,2,0.27658466,0.6397573,233.6666667,0.32938576,1412,325,235,0,152.5,3
1,228.0394,388.7,2,0.3376928,0.7006184,262.25,2.555904,2421,325,232,0,150,4
1,262.26364,225.1,9,0.13075468,0.5439867,89.5,1.7219661,911.5,308,208,225.5,155.5,0
1,335.72128,153.35,10,0.13695498,0.51156634,73,7.117327,1111,290,196.5,203.5,163.5,1
1,61.82712,1035.05,10,0.16552195,0.5600349,94.25,1.8410542,836,289,198,207.3333333,166,2
1,317.14777,486.2,10,0.05676231,0.471213,91.58333333,1.8970245,949.5,312,211,243.5,160,3
1,266.97534,528.6,9,0.17715523,0.57891345,87.25,3.8393195,896.5,312,211,250,160,4
1,277.20682,814.05,17,0.31676513,0.62348944,168.5,4.8402586,2481.25,298,231,0,161.0625,0
1,221.41911,690.4,17,0.2808436,0.6314518,202.5,3.0120084,2673,304.5,238,0.076923077,181,1
1,143.31136,149.95,17,0.3628904,0.70783055,194,2.6006193,2697.166667,301,234,0,184.75,2
1,199.69633,238.25,17,0.27303356,0.6186602,194,2.5227609,2697.166667,301,234,0,184.75,3
1,281.197,564.05,2,0.42330092,0.6878318,154.5,0.14926153,2838.5,309,241,0,226.5,4
